DATE_TIME,PLANT_ID_x,SOURCE_KEY_x,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,PLANT_ID_y,SOURCE_KEY_y,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
2020-05-15 00:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,4135001,HmiyD2TTLFNqkNe,25.184316133333333,22.8575074,0.0
2020-05-15 00:15:00,4135001,1IF53ai7Xc0U56Y,0.0,0.0,0.0,6183645.0,4135001,HmiyD2TTLFNqkNe,25.08458866666667,22.761667866666663,0.0
2020-05-15 00:30:00,4135001,3PZuoBAID5Wc2HD,0.0,0.0,0.0,6987759.0,4135001,HmiyD2TTLFNqkNe,24.935752600000004,22.59230553333333,0.0
2020-05-15 00:45:00,4135001,7JYdWkrLSPkdwr4,0.0,0.0,0.0,7602960.0,4135001,HmiyD2TTLFNqkNe,24.8461304,22.36085213333333,0.0
2020-05-15 01:00:00,4135001,McdE0feGgRqW7Ca,0.0,0.0,0.0,7158964.0,4135001,HmiyD2TTLFNqkNe,24.621525357142858,22.165422642857145,0.0
2020-05-15 01:15:00,4135001,VHMLBKoKgIrUVDU,0.0,0.0,0.0,7206408.0,4135001,HmiyD2TTLFNqkNe,24.5360922,21.968570866666667,0.0
2020-05-15 01:30:00,4135001,WRmjgnKYAwPKWDb,0.0,0.0,0.0,7028673.0,4135001,HmiyD2TTLFNqkNe,24.638673866666664,22.352925666666668,0.0
2020-05-15 01:45:00,4135001,ZnxXDlPa8U1GXgE,0.0,0.0,0.0,6522172.0,4135001,HmiyD2TTLFNqkNe,24.87302233333333,23.1609192,0.0
2020-05-15 02:00:00,4135001,ZoEaEvLYb1n2sOq,0.0,0.0,0.0,7098099.0,4135001,HmiyD2TTLFNqkNe,24.936930466666663,23.026113,0.0
2020-05-15 02:15:00,4135001,adLQvlD726eNBSB,0.0,0.0,0.0,6271355.0,4135001,HmiyD2TTLFNqkNe,25.0122476,23.343229266666665,0.0
2020-05-15 02:30:00,4135001,bvBOhCH3iADSZry,0.0,0.0,0.0,6316803.0,4135001,HmiyD2TTLFNqkNe,25.005149333333332,23.639459266666663,0.0
2020-05-15 02:45:00,4135001,iCRJl6heRkivqQ3,0.0,0.0,0.0,7177992.0,4135001,HmiyD2TTLFNqkNe,24.993019533333328,24.0394858,0.0
2020-05-15 03:00:00,4135001,ih0vzX44oOqAx2f,0.0,0.0,0.0,6185184.0,4135001,HmiyD2TTLFNqkNe,25.016309428571425,24.384135571428573,0.0
2020-05-15 03:15:00,4135001,pkci93gMrogZuBj,0.0,0.0,0.0,7169102.0,4135001,HmiyD2TTLFNqkNe,24.985215266666664,24.35150773333333,0.0
2020-05-15 03:30:00,4135001,rGa61gmuvPhdLxV,0.0,0.0,0.0,7111493.0,4135001,HmiyD2TTLFNqkNe,24.93773193333333,24.060296533333336,0.0
2020-05-15 03:45:00,4135001,sjndEbLyjtCKgGv,0.0,0.0,0.0,7016832.0,4135001,HmiyD2TTLFNqkNe,24.87909953333333,23.709794133333336,0.0
2020-05-15 04:00:00,4135001,uHbuxQJl8lW7ozc,0.0,0.0,0.0,7038681.0,4135001,HmiyD2TTLFNqkNe,24.6789022,22.58994153333333,0.0
2020-05-15 04:15:00,4135001,wCURE6d3bPkepu2,0.0,0.0,0.0,6782598.0,4135001,HmiyD2TTLFNqkNe,24.3519308,21.78364253333333,0.0
2020-05-15 04:30:00,4135001,z9Y9gH1T5YWrNuG,0.0,0.0,0.0,7007866.0,4135001,HmiyD2TTLFNqkNe,24.0626222,21.85252493333333,0.0
2020-05-15 04:45:00,4135001,zBIq5rxdHJRwDNY,0.0,0.0,0.0,6339380.0,4135001,HmiyD2TTLFNqkNe,24.013224200000003,22.306315,0.0
2020-05-15 05:00:00,4135001,zVJPv84UY57bAof,0.0,0.0,0.0,7116151.0,4135001,HmiyD2TTLFNqkNe,24.1771058,22.551908466666664,0.0
2020-05-15 05:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,4135001,HmiyD2TTLFNqkNe,24.304888,22.979492071428577,0.0
2020-05-15 05:30:00,4135001,1IF53ai7Xc0U56Y,0.0,0.0,0.0,6183645.0,4135001,HmiyD2TTLFNqkNe,24.328727266666665,23.452380466666668,0.0
2020-05-15 05:45:00,4135001,3PZuoBAID5Wc2HD,0.0,0.0,0.0,6987759.0,4135001,HmiyD2TTLFNqkNe,24.28921113333333,23.09669193333333,0.0008627212413333
2020-05-15 06:00:00,4135001,7JYdWkrLSPkdwr4,0.0,0.0,0.0,7602960.0,4135001,HmiyD2TTLFNqkNe,24.088446066666663,22.2067566,0.0058869571866666
2020-05-15 06:15:00,4135001,McdE0feGgRqW7Ca,0.0,0.0,0.0,7158964.0,4135001,HmiyD2TTLFNqkNe,24.01163526666667,22.35345866666667,0.0222816074666666
2020-05-15 06:30:00,4135001,VHMLBKoKgIrUVDU,0.0,0.0,0.0,7206408.0,4135001,HmiyD2TTLFNqkNe,23.976731266666665,22.893282,0.0494097238666666
